company_name,linkedin_url,description,fleet_size
Air Alliance,https://linkedin.com/company/alliance-air,Компания Allaince air успешно работает на рынке дистрибуции промышленного климатического оборудования с 2013 года. Сотрудники компании имеют опыт в HVAC с ...,8
Air Alsie,https://linkedin.com/company/air-alsie,"Air Alsie A/S provides executive jet services in Scandinavia and internationally. It offers air charter, and aircraft management/advisory and maintenance ...",4
Air Antilles,https://linkedin.com/company/air-antilles,Air Antilles | 10124 followers on LinkedIn. Au cœur des iles | French Regional Airline IATA CODE: 3S - CALLSIGN: Greenbird Air Antilles operates scheduled ...,5
Air Arabia,https://linkedin.com/company/air-arabia,"Welcome to Air Arabia Group, the leading low-cost carrier in the Middle East and North Africa. Operating from six key hubs—Sharjah, Ras Al Khaimah, Abu Dhabi, ...",77
Air Astana,https://linkedin.com/company/air-astana,We are a multi-award-winning international airline. Join us to plan your new adventures around the world from and via Almaty and Astana.,34
Air Astra,https://linkedin.com/company/airastra/,Air Astra (incorporated as Astra Airways Limited) is a privately-held commercial airline that expects to launch commercial flight operations by Q4 2022.,4
Air Atlanta Icelandic,https://linkedin.com/company/air-atlanta,"The Air Atlanta brand consists of two sister airlines, “Air Atlanta Icelandic” with headquarters in Iceland and “Air Atlanta Europe” in Malta.",1
Air Austral,https://linkedin.com/company/air-austral,"AIR AUSTRAL, VOTRE COMPAGNIE PARTENAIRE AU DEPART DE LA REUNION VERS / - L'OCEAN INDIEN DES LIAISONS DIRECTES VERS TOUTES LES ILES DE L'OCEAN INDIEN, COMORES, ...",7
Air Baltic,https://linkedin.com/company/airbaltic,airBaltic is a strong and internationally respected airline with the main hub in Riga and bases in Tallinn and Vilnius. We currently offer flights to nearly ...,50
Air Bohemia,https://linkedin.com/company/airbohemia,Air Bohemia is a private provider of business air transport. The company was founded in 2012 in the Czech Republic by renaming the former company Aero-taxi OKR ...,4
Air Borealis,https://linkedin.com/company/air-borealis,"Air Borealis is an airline all can take great pride in. With deep respect and connection to the community, the environment, and the people of the North.",9
Air Botswana,https://linkedin.com/company/air-botswana,"Air Botswana is the country's national airline. The airline operates and maintains a fleet of four aircraft, that includes an Embraer 170 Jet, ATR42-500 and ...",6
Air Burkina,https://linkedin.com/company/air-burkina-s-a-,Air Burkina SA Aviation and Aerospace Component Manufacturing Follow Report this company Close menu View all 69 employees About us,3
Air Busan,https://linkedin.com/company/airbusan,"AIR BUSAN. Airlines and Aviation. Busan, Gangseo-gu 1,437 followers. New Take-Off 2023. Follow · Report this company; Close menu. View all 95 employees ...",21
Air Cairo,https://linkedin.com/company/air-cairo,"Air Cairo is a low fare airline based in Cairo, Egypt. The airline is the low fare subsidiary of Egyptair which operates scheduled flights to middle east, ...",37
Air Caledonie,https://linkedin.com/company/air-cal%C3%A9donie,"Air Calédonie est l'unique compagnie aérienne à desservir l'ensemble du réseau domestique de Nouvelle-Calédonie, de façon régulière. Website: http:// ...",4
Air Cambodia,https://linkedin.com/company/cambodia-airways,"Cambodia Airways Co., Ltd. is a local Cambodian airline based in Phnom Penh. Established in September 2017, the company launched its inaugural flight on July ...",6
Air Canada,https://linkedin.com/company/air-canada,"Canada's largest airline, the country's flag carrier and a founding member of Star Alliance, the world's most comprehensive air ...",319
Air Canada Rouge,https://linkedin.com/company/air-canada-rouge,"As a team, we know that our purpose is to create wonderful beginnings and endings to our travellers' vacations, which we are committed to do every day, on ...",37
Air Caraibes,https://linkedin.com/company/air-caraibes,"Air Caraïbes | Haute en couleurs... ✈ Aujourd'hui reconnue comme la compagnie aérienne antillaise spécialiste des Caraïbes et de la Guyane, (code IATA : TX code ...",13
Air Care Alliance,https://linkedin.com/company/air-care-alliance,The Air Care Alliance is a 501(c)(3) nonprofit public service organization representing a nationwide network of volunteer pilot groups that deliver ...,8
Air Cargo Carriers,https://linkedin.com/company/air-cargo-carriers,"Air Cargo Carriers provides reliable, scheduled service for the world's largest scheduled freight carriers, as well as full-service, on-demand charters.",30
Air Central,,,15
Air Century,https://linkedin.com/company/aircentury,Air Century | 4749 followers on LinkedIn. Improving the Experience | Dominican airline with over 30 years of experience serving the greater Caribbean region ...,7
Air Changan,https://linkedin.com/company/yaning-purification-technology-co.ltd,"main products 1.FFU ,air shower room ,cargo air shower ,HEPA filter ,horizontal clean bench ,pass box ,clean booth medical bench and so on 2.primer ...",14
Air Charter Scotland,https://linkedin.com/company/air-charter-scotland-ltd/,Air Charter Scotland has earned a reputation as one of the safest and most respected private jet operators. We ensure our fleet is maintained to uncompromising ...,10
Air Charter Scotland Europe,https://linkedin.com/company/air-charter-scotland-europe,Air Charter Scotland has built a reputation as one of the most reliable private jet operators in the UK. We are the preferred private jet operator for some of ...,1
Air Charters Europe,https://linkedin.com/company/aircharterseurope,Air Charters Europe (ACE) is part of the ASL Group and focuses on customers who want to charter a (private) aircraft for group travel.,4
Air Chathams,https://linkedin.com/company/air-chathams-limited,Air Chathams is a 100% privately owned airline started in 1984 by CEO Craig Emeny. The airline built its foundations providing a critical air-link between the ...,16
Air China,https://linkedin.com/company/air-china/,"Air China is China's only national flag carrier and a member carrier of the world's largest airline network - Star Alliance. By Jun 2016, Air China had a ...",507
Air China Cargo,https://linkedin.com/company/air-china-cargo/,"A cargo airline with its headquarters in Shunyi District, Beijing, China t is an all-cargo subsidiary of Air China and operates services to 36 cities in 27 ...",25
Air China Inner Mongolia,https://linkedin.com/company/inner-mongolia-jianlong-biochemical-co--ltd,"Locations. SUITE 701,AIR CHINA PLAZA. NO.96 ZHELIMU ROAD. XINCHENG, XINCHENG 010010, CN. Get directions. Employees at INNER MONGOLIA JIANLONG BIOCHEMICAL CO., ...",9
Air Class,https://linkedin.com/company/air-class,"Air Class, founded in Singapore & the UK in 2014, is a global leading 1-on-1 online education enterprise.",4
Air Corporate,https://linkedin.com/company/air-corporate,Air Corporate is a Hong Kong-based new generation of Corporate Services Provider using a digital-first approach. Air Corporate offers entrepreneurs a ...,14
Air Corsica,https://linkedin.com/company/air-corsica,"Air Corsica (code IATA : XK ; code OACI : CCM) est une compagnie aérienne française, précédemment appelée Compagnie Corse Méditerranée puis CCM Airlines.",13
Air Côte d'Ivoire,https://linkedin.com/company/air-c%C3%B4te-d'ivoire-officiel,"La nouvelle compagnie Air Côte d'Ivoire, créée en mai 2012, a la particularité d'offrir des avantages compétitifs : des vols directs et fréquents, aux horaires ...",12
Air Creebec,https://linkedin.com/company/air-creebec,"---- Air Creebec is a regional airline connecting northern and southern communities across Quebec and Ontario. Owned by the Cree Nation since 1988, we provide ...",21
Air Do,https://linkedin.com/company/aird%C5%8D,"Hakkımızda ; Web Sitesi: http://www.airdo.co. Airdo için harici link ; Sektör: Teknoloji, Bilgi ve İnternet ; Şirket büyüklüğü: 2-10 çalışan ; Türü: Özel Şirket.",13
Air Dolomiti,https://linkedin.com/company/air-dolomiti/,Benvenuto/a! Air Dolomiti is one of the Italian airline of the Lufthansa Group. Our story began in 1991 when we launched our operations with our first Trieste- ...,26
Air Dream College,https://linkedin.com/company/air-dream-college/,"About us. Air Dreams College is a new aviation school, in Portugal, that combines the perfect conditions to make your dream come true ... FLY!",10
Air Eagle,https://linkedin.com/company/air-eagle,The Company was established in 1991 to airlift cargo on both domestic and international destinations. Air Eagle is a PCAA Charter Class II license company.,1
Air Europa,https://linkedin.com/company/aireuropa,Air Europa es la división aérea de Globalia Corporación. Miembros de la alianza SkyTeam. Nuestra red de vuelos abarca gran parte del territorio nacional español ...,58
Air Excel,https://linkedin.com/company/airexcel,"Air Excel was founded in 1997 and to date remains an owner run and operated airline, with over two and a half years of experience in the industry.",1
Air Falcon,https://linkedin.com/company/air-falcon-pvt-ltd,Air Falcon is a regional carrier with a purpose to provide world-class and affordable services to its customers. Air Falcon is headquartered in Lahore and ...,1
Air Flamenco,https://linkedin.com/company/nature-air-costa-rica-airline,"NatureAir is the world's first Carbon Neutral Airline. Located in San Jose, Costa Rica, the airline serves 15 destinations with 74 daily scheduled flights.",13
Air France,https://linkedin.com/company/air-france--klm,"Air France-KLM is a major global air transport player. Its main businesses are passenger transportation, cargo transportation and aeronautical maintenance.",279
Air Greenland,https://linkedin.com/company/air-greenland,"With destinations all over Greenland and connections from Copenhagen Iceland and Nunavut, we are your Greenlandic airline company. Website: http://airgreenland.",23
Air Guilin,https://linkedin.com/company/air-guilin,Air Guilin is a Chinese airline based at Guilin Liangjiang International Airport in Guangxi. A joint venture between the Guilin Municipal Government and HNA ...,9
Air Horizont,https://linkedin.com/company/air-horizont,"Air Horizont was born in 2015, as an airline promoted and run by Aragones. We are a Maltese carrier and our offices are located in Malta and in Spain, ...",6
Air Incheon,https://linkedin.com/company/airincheon/,"Air Incheon Co., Ltd. is the national cargo airline of South Korea established in 2012, and operates four B737-800SF. Air Incheon has contributed to the ...",6
Air India,https://linkedin.com/company/airindia,Air India's dedicated passenger hotline numbers for India 1800 5691 444; for calls outside India +91 8062779200. Air India requests media persons not to contact ...,191
Air India Express,https://linkedin.com/company/airindiax,"Welcome to the official LinkedIn page of Air India Express, A Tata Enterprise. AIX operates 500+ daily flights with a fleet of over 100 aircraft.",114
Air Inuit,https://linkedin.com/company/air-inuit,"Air Inuit fournit des services essentiels de transport aérien régulier, nolisé, de cargo et d'urgence au Nunavik et au-delà, 24 heures par jour, ...",36
Air Japan,https://linkedin.com/company/japan-airlines,"Japan Airlines (JAL), Japan's first private aviation company, was established in 1951 and is a member of the oneworld® Alliance.",2
Air Key West,https://linkedin.com/company/air-key-west,"Air Key West air charter service provides flights between Key West, Marathon, and the Florida Keys to the US, Cuba, The Bahamas and the Caribbean.",3
Air Kiribati,https://linkedin.com/company/air-kiribati-limited,"Air Kiribati Ltd (AKL), also a fully-owned Government company, took over the operations in 1995 primarily to provide domestic air services in Kiribati.",5
Air Koryo,https://linkedin.com/company/aviation-o-holic-by-kush,"From EVA Air's kawaii overload to North Korea's Air Koryo and the mysterious Janet Airlines, these carriers prove that air travel can be anything but ordinary.",9
Air Liaison,https://linkedin.com/company/air-liaison,Air Liaison was established in 1991 as a specialist airline sales and marketing agency to represent the cargo interest of airlines operating from the UK.,13
Air Libya,https://linkedin.com/company/air-libya,AIR LIBYA · Airlines and Aviation · About us · Employees at AIR LIBYA · Similar pages · Browse jobs · Sign in to see who you already know at AIR LIBYA · Welcome ...,8
Air Loyaute,https://linkedin.com/company/air-loyaut%C3%A9-nouvelle-cal%C3%A9donie,Air Loyauté Nouvelle-Calédonie · Airlines and Aviation · About us · Employees at Air Loyauté Nouvelle-Calédonie · Similar pages · Browse jobs · Sign in to see ...,5
Air Macau,https://linkedin.com/company/air-macau,Air Macau was established on 13 September 1994. Its commercial inauguration was on 09 November 1995. Air Macau is a regional carrier based in Macau.,22
Air Manas,https://linkedin.com/company/airmanas,Air Manas is one of the dynamically developing airlines of the Kyrgyz Republic and Airbus 220-300 operator and the first in the CIS region has introduced the A ...,1
Air Mauritius,https://linkedin.com/company/airmauritius,"Air Mauritius has fully played its role as the national airline of Mauritius, providing air connectivity that has been crucial for the development of the ...",12
Air Mediterranean,https://linkedin.com/company/air-mediterranean,"Air Mediterranean is a commercial charter and scheduled airline based in Athens, Greece. Charters & ACMI IATA : MV ICAO : MAR.",2
Air Methods,https://linkedin.com/company/air-methods,"Air Methods has a talented workforce of over 4,500 team members, which includes the best in the air medical industry. We are pilots, clinicians, ...",23
Air Moana,https://linkedin.com/company/airmoana,"Air Moana est une compagnie aérienne inter-îles opérant en Polynésie française depuis février 2023. Au départ et vers Tahiti, Air Moana dessert les îles de : ...",3
Air Montenegro,https://linkedin.com/company/air-montenegro,"Air Montenegro is a newly established Montenegrin national carrier. In just three and a half months after founding the company, our first commercial flight ...",3
Air Mountain,https://linkedin.com/company/mountain-air-cargo-inc-,MAC operates an express cargo feeder fleet specifically designed for FedEx. Our growing and talented team of pilots and mechanics do an amazing job of ...,2
Air New Zealand,https://linkedin.com/company/air-new-zealand,"Air New Zealand is one of the world's leading airlines, known around the world, not just for our name and our innovation but also for our reputation.",113
Air Niugini,https://linkedin.com/company/air-niugini,"Air Niugini, the National Airline of Papua New Guinea, operates a vast domestic network and an international network to Asia, Australia and the Pacific ...",29
Air North,https://linkedin.com/company/air-north,"Founded in 1977, Air North, Yukon's Airline, is a proud emblem of the Yukon community, with 49% ownership by the Vuntut Gwitchin First Nation.",11
Air Nunavut,https://linkedin.com/company/smooth-air-charter,"SmoothAir Charter is the southern Ontario division of Air Nunavut Ltd., a reputable northern Canadian charter company founded in 1989.",15
Air Ocean Maroc,https://linkedin.com/company/airocean-maroc,"We would like to reassure our clients, partners, and the public that Air Ocean Maroc remains fully operational. All scheduled flights are continuing as planned, ...",6
Air Panama,https://linkedin.com/company/air-facility-panam%C3%A1,Transportamos su carga a través del aire o mar desde cualquier lugar del mundo y con el servicio que se adapte a sus exigencias.,5
Air Peace,https://linkedin.com/company/air-peace-limited,"Air Peace Limited, Nigeria's foremost airline was launched on October 24, 2014, with a record of seven aircraft comprising three state-of-the-art Dornier 328 ...",22
Air Premia,https://linkedin.com/company/air-premia/,Air Premia was born to create a world where more people can travel farther and more comfortably. What we consider as premium is not necessarily something ...,8
Air Rarotonga,https://linkedin.com/company/air-rarotonga-limited,Air Rarotonga operates regular scheduled flights and charter services to the other sister islands of the Southern and Northern Cook Islands.,6
Air Safaris,https://linkedin.com/company/tekapo-air-safaris,"Air Safaris offer a “flight of a lifetime”, exploring the incredible world heritage Aoraki Mount Cook and Westland National Parks.",6
Air Saint-Pierre,https://linkedin.com/company/air-business-logistics,Totally customer-centric import and export service provider for both air and sea freight requirements. To or from anywhere in the world.,1
Air Samarkand,https://linkedin.com/company/airsamarkand,"Air Samarkand is a new airline of New Uzbekistan, founded in Samarkand. We are for the simplicity of travel, so we strive to follow the most modern standards.",3
Air Senegal,https://linkedin.com/company/air-221,"La compagnie aérienne nationale, a pour ambition d'être le leader du transport aérien ouest-africain en s'appuyant sur le HUB régional AIBD (Aéroport ...",9
